                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.0203,                 2.0911,                 1.4596,                0.65385,                 0.5478,                0.63781,                0.48166,                 1.0822,                 1.7933,                 1.4915,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.0143,                 2.0823,                 1.4477,                0.61635,                0.56728,                0.64007,                0.47877,                 1.0803,                 1.7802,                 1.4895,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.0087,                 2.0583,                 1.4478,                0.63326,                0.55082,                0.64565,                0.48021,                 1.0808,                 1.7811,                 1.4861,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.0086,                 2.0501,                 1.4462,                0.69156,                0.54385,                0.63919,                0.47424,                 1.0756,                  1.774,                 1.4849,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.0177,                 2.0659,                  1.452,                 0.5318,                0.59543,                0.63288,                0.46887,                 1.0754,                 1.7762,                 1.4876,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.0077,                 2.0475,                 1.4446,                0.54836,                0.60683,                0.63462,                0.47036,                 1.0738,                 1.7797,                 1.4875,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.0062,                 2.0588,                 1.4454,                0.54811,                0.61462,                0.63014,                0.47445,                 1.0719,                 1.7801,                 1.4862,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.0015,                 2.0118,                 1.4356,                0.55135,                0.61487,                0.62908,                0.47164,                 1.0671,                 1.7802,                 1.4834,              0.0091288,              0.0091288,              0.0091288
                     91,                  1.002,                 2.0162,                 1.4373,                0.56768,                0.60576,                0.63247,                0.47517,                 1.0614,                 1.7753,                 1.4791,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.0006,                 2.0276,                  1.436,                0.55669,                 0.6047,                  0.632,                0.47557,                 1.0621,                 1.7693,                  1.479,               0.009109,               0.009109,               0.009109
                     93,                0.99607,                  2.006,                 1.4336,                0.55814,                0.60337,                0.63734,                0.47706,                 1.0653,                 1.7704,                 1.4779,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.0023,                  2.008,                 1.4365,                0.55063,                0.61301,                0.64374,                0.47923,                 1.0653,                 1.7696,                 1.4772,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.0012,                 2.0012,                 1.4311,                0.56889,                0.60999,                0.63994,                0.47917,                 1.0623,                 1.7665,                 1.4744,              0.0090793,              0.0090793,              0.0090793
                     96,                0.99462,                 1.9963,                 1.4287,                0.56523,                0.61456,                0.64349,                0.48135,                 1.0596,                 1.7674,                 1.4764,              0.0090694,              0.0090694,              0.0090694
                     97,                0.99472,                 1.9911,                 1.4304,                0.56264,                0.61886,                0.64367,                0.48349,                 1.0517,                 1.7691,                 1.4689,              0.0090595,              0.0090595,              0.0090595
                     98,                0.99429,                 1.9812,                 1.4278,                0.56544,                 0.6203,                0.64855,                0.48742,                 1.0471,                 1.7646,                 1.4661,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.0026,                 1.9831,                 1.4335,                0.56692,                0.61914,                0.65108,                0.48762,                 1.0451,                 1.7599,                 1.4637,              0.0090397,              0.0090397,              0.0090397
                    100,                 0.9836,                 1.9718,                 1.4261,                0.56647,                 0.6286,                0.65525,                0.49156,                 1.0419,                 1.7537,                 1.4623,              0.0090298,              0.0090298,              0.0090298
                    101,                0.99169,                 1.9583,                 1.4253,                0.56707,                0.62903,                0.65556,                 0.4917,                 1.0444,                 1.7389,                 1.4651,              0.0090199,              0.0090199,              0.0090199
                    102,                 0.9921,                  1.969,                 1.4285,                0.56548,                0.62459,                0.65739,                0.49263,                 1.0425,                 1.7352,                 1.4635,                0.00901,                0.00901,                0.00901
                    103,                0.98948,                 1.9606,                 1.4254,                0.56836,                0.62929,                 0.6578,                0.49094,                 1.0414,                  1.735,                 1.4631,              0.0090001,              0.0090001,              0.0090001
                    104,                0.98111,                 1.9393,                 1.4173,                0.57384,                0.61894,                0.65701,                0.49012,                 1.0373,                 1.7296,                 1.4598,              0.0089902,              0.0089902,              0.0089902
                    105,                0.98331,                 1.9404,                 1.4132,                 0.5673,                  0.616,                0.65508,                0.48951,                 1.0397,                 1.7295,                 1.4628,              0.0089803,              0.0089803,              0.0089803
                    106,                0.98502,                 1.9294,                 1.4196,                0.57884,                0.61765,                0.65935,                0.49099,                 1.0352,                 1.7302,                 1.4587,              0.0089704,              0.0089704,              0.0089704
                    107,                0.97934,                 1.9268,                 1.4122,                 0.5817,                0.61037,                0.65764,                 0.4912,                 1.0355,                  1.734,                 1.4584,              0.0089605,              0.0089605,              0.0089605
                    108,                0.97119,                 1.9136,                 1.4061,                0.58659,                0.60754,                0.66198,                0.49499,                 1.0364,                 1.7326,                 1.4584,              0.0089506,              0.0089506,              0.0089506
                    109,                0.97924,                  1.918,                 1.4092,                0.58572,                0.61304,                0.66303,                0.49339,                 1.0374,                 1.7266,                 1.4607,              0.0089407,              0.0089407,              0.0089407
                    110,                0.97139,                 1.9031,                 1.4058,                0.58549,                0.61224,                0.66237,                0.49501,                 1.0378,                 1.7255,                 1.4617,              0.0089308,              0.0089308,              0.0089308
                    111,                0.97296,                 1.9116,                 1.4098,                0.56928,                0.61151,                0.66279,                0.49756,                 1.0345,                 1.7228,                 1.4597,              0.0089209,              0.0089209,              0.0089209
                    112,                0.97489,                   1.91,                 1.4056,                0.56589,                0.60595,                0.65922,                0.49775,                 1.0326,                 1.7186,                 1.4588,               0.008911,               0.008911,               0.008911
                    113,                0.98326,                 1.9033,                 1.4121,                0.56857,                  0.605,                0.65554,                0.49615,                 1.0325,                 1.7154,                 1.4598,              0.0089011,              0.0089011,              0.0089011
                    114,                0.96698,                 1.8829,                 1.4038,                0.59644,                0.60065,                0.65566,                0.49509,                 1.0303,                 1.7141,                 1.4581,              0.0088912,              0.0088912,              0.0088912
                    115,                0.97135,                 1.8751,                 1.4014,                0.59715,                0.60151,                0.65559,                0.49451,                 1.0289,                  1.713,                 1.4562,              0.0088813,              0.0088813,              0.0088813
                    116,                0.96638,                 1.8678,                 1.3996,                0.59675,                0.60202,                0.65489,                0.49403,                 1.0315,                 1.7089,                 1.4582,              0.0088714,              0.0088714,              0.0088714
